Timestamp,0. Are you currently employed in Berlin or by a Berlin-based organization?,1. Gender:,2. Age:,3. Highest vocational qualification attained:,4. Years of total work experience:,5. Citizenship,6. Type of organisation,7. Industry,"8. Company size (global, entire organisation)",9. Years in current company:,10. Job/Position title,11. Which best describes your role in your current company?,12. Years in current position:,13. Full-time / Part-time,14. Contract in hours per week,15. Total annual gross salary in EUR (before taxes and deductions),"16. Performance-related pay or bonuses (gross) in EUR - CAN SKIP IF ""0""","17. Total Annual Equity Compensation (stock options, ESOPs, etc.) in EUR - CAN SKIP IF ""0""",18. Salary raise since January 2023,19. ID,20. Contract in hours per week (Normalized)
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,3-5,Other-EU,A Non-governmental organization (NGO),Education,51-200,Less than 1,Student Assistant,Individual Contributor (no direct reports),Less than 1,Part-time,12,7.000,na,0,No raise,70,12
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,45-49,Master's Degree,11-15,Other-EU,Self-employed,Education,501-1000,6-10,Teacher,Individual Contributor (no direct reports),11-15,Contract/Freelance,25,10.000,12.000,0,1-5%,8,25
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,24 or under,No vocational qualification attained,1-2,Dual (Ger/EU and Non-EU),A private firm,Hospitality (Accommodation and Food Services),11-50,1-2,Barista,Individual Contributor (no direct reports),1-2,Part-time,35,10.000,na,0,No raise,162,35
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Diploma,6-10,Other-EU,Other public sector (such as education and health),"Professional Services (e.g., consulting, Engineering, and legal services)",51-200,1-2,Psychologische Psychotherapeutin,Individual Contributor (no direct reports),3-5,Part-time,8,10.000,na,0,No raise,904,8
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Bachelor's Degree,16-20,Non-EU,A private firm,Hospitality (Accommodation and Food Services),51-200,1-2,Costumer Service,Individual Contributor (no direct reports),Less than 1,Part-time,30,13.000,na,0,1-5%,260,30
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,24 or under,Apprenticeship/Vocational Training (Dual System),Less than 1,German,A private firm,Technology/Software Development,1000+,Less than 1,Student,Individual Contributor (no direct reports),Less than 1,Full-time,40,14.000,na,1.900,No raise,710,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,1-2,Non-EU,A private firm,Technology/Software Development,1000+,Less than 1,Student / Product Marketing,Individual Contributor (no direct reports),Less than 1,Part-time,20,14.000,na,0,1-5%,722,20
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,40-44,Diploma,16-20,German,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",11-50,6-10,Sekretärin,Individual Contributor (no direct reports),6-10,Part-time,20,14.000,na,0,No raise,936,20
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Female,25-29,Master's Degree,3-5,Other-EU,Self-employed,Other Services,11-50,Less than 1,Bike guide,Individual Contributor (no direct reports),Less than 1,Contract/Freelance,1,15.000,na,0,No raise,601,
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,24 or under,Apprenticeship/Vocational Training (Dual System),Less than 1,Non-EU,A private firm,Healthcare and Pharmaceuticals,1-10,Less than 1,Student / Business Adminsteration assistant,Individual Contributor (no direct reports),Less than 1,Part-time,20,15.600,na,0,No raise,917,20
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,Less than 1,Non-EU,Other public sector (such as education and health),Information & Communication,501-1000,Less than 1,Student,na,Less than 1,Part-time,20,16.800,na,0,No raise,637,20
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,40-44,Master's Degree,11-15,Dual (Ger/EU and Non-EU),A private firm,Manufacturing,11-50,3-5,Workshop Manager,Manager (manages team),1-2,Part-time,16,18.000,na,0,No raise,377,16
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,45-49,Apprenticeship/Vocational Training (Dual System),1-2,Other-EU,A private firm,Retail & Wholesale Trade,1000+,Less than 1,Verkäufer,Individual Contributor (no direct reports),Less than 1,Part-time,24,18.200,na,0,No raise,758,24
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,24 or under,No vocational qualification attained,1-2,German,Other public sector (such as education and health),Technology/Software Development,1000+,1-2,Research Engineer,Team Lead (manages small team),Less than 1,Part-time,20,20.000,na,0,1-5%,113,20
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Master's Degree,11-15,Other-EU,Self-employed,Other Services,1-10,6-10,Artist,na,6-10,Contract/Freelance,30,22.000,na,0,Prefer not to say,700,30
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,24 or under,Bachelor's Degree,3-5,German,A private firm,Manufacturing,1000+,1-2,Student / Full Stack Engineer,Individual Contributor (no direct reports),1-2,Part-time,20,23.000,na,0,1-5%,135,20
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,3-5,Non-EU,A private firm,Transportation & Storage,1000+,1-2,Mitarbeiter,Prefer not to say,1-2,Full-time,40,23.000,na,0,No raise,425,40
 06/2023  ,No.,Male,40-44,Diploma,3-5,German,A private firm,Manufacturing,1000+,3-5,Technischer Repräsentant,Individual Contributor (no direct reports),3-5,Full-time,40,43.000,na,na,1-5%,18,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,40-44,Bachelor's Degree,11-15,German,Self-employed,Information & Communication,1-10,3-5,Senior Creative,Individual Contributor (no direct reports),3-5,Contract/Freelance,na,24.000,na,0,No raise,264,
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,3-5,Non-EU,A state-owned enterprise,"Professional Services (e.g., consulting, Engineering, and legal services)",1000+,Less than 1,Student / na,Individual Contributor (no direct reports),Less than 1,Full-time,39,24.000,na,0,No raise,422,39
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Diploma,3-5,Other-EU,A private firm,Construction,11-50,Less than 1,Architect,Individual Contributor (no direct reports),3-5,Full-time,40,24.600,na,0,No raise,867,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,40-44,Prefer not to say,16-20,Prefer not to say,A Non-governmental organization (NGO),Other Services,11-50,Less than 1,Program Manager,Individual Contributor (no direct reports),Less than 1,Part-time,20,25.000,na,0,No raise,45,20
